Graph
Time (Seconds),Data (Meters),Data0 (Meters),Data1 (Meters),Data2 (Degrees),Data3 (Degrees),Data4 (Degrees)
16.500000,0.753856,-0.579931,0.224266,3.605954,2.142262,-105.942284
16.549999,0.752781,-0.580991,0.225641,3.381291,1.799815,-106.633797
16.599998,0.750548,-0.581947,0.230048,2.509626,1.741249,-107.271866
16.650000,0.746893,-0.581093,0.231667,0.719982,1.041033,-107.717033
16.699999,0.739950,-0.577276,0.231069,-1.219807,0.111645,-107.871300
16.750000,0.727379,-0.570128,0.229321,-2.338868,-0.700260,-107.821899
16.799999,0.709533,-0.561772,0.226377,-1.391248,-2.105835,-107.440552
16.849998,0.692763,-0.558270,0.224504,1.055046,-3.996151,-107.085724
16.900000,0.681394,-0.559762,0.228098,2.315683,-4.947111,-107.277718
16.949999,0.675014,-0.564061,0.234064,2.374476,-4.297529,-107.929222
17.000000,0.672895,-0.567643,0.234792,1.131170,-1.739593,-108.950706
17.049999,0.673485,-0.568128,0.231365,-0.491086,1.402626,-109.886795
17.099998,0.673074,-0.564352,0.226578,-1.703129,3.960599,-110.659630
17.150000,0.670389,-0.557439,0.229582,-1.872457,3.975345,-111.433113
17.199999,0.665662,-0.551101,0.228492,0.534664,2.922184,-111.980911
17.250000,0.661771,-0.548812,0.223312,3.462242,1.861066,-112.451324
17.299999,0.660371,-0.549438,0.225239,3.563783,1.276818,-113.041061
17.349998,0.658324,-0.549975,0.229603,2.853115,1.418645,-113.806885
17.400000,0.655549,-0.548795,0.231146,0.999230,0.968114,-114.517746
17.449999,0.650456,-0.544610,0.230326,-1.229878,0.225305,-114.968246
17.500000,0.640602,-0.536656,0.228745,-2.548844,-0.400390,-115.199554
17.549999,0.624605,-0.525222,0.228213,-2.790473,-0.790879,-115.251244
17.599998,0.607494,-0.515771,0.227505,-1.048502,-2.635604,-115.177071
17.650000,0.593274,-0.512292,0.224899,1.016041,-4.780534,-115.391701
17.699999,0.583637,-0.514195,0.228682,1.899282,-5.732187,-116.079666
17.750000,0.578278,-0.518739,0.235180,1.637641,-4.453995,-117.025032
17.799999,0.578097,-0.522788,0.235410,0.571633,-1.382975,-118.055832
17.849998,0.579947,-0.523292,0.230703,-0.419224,2.060468,-118.894180
17.900000,0.580520,-0.519026,0.228070,-0.957260,3.623726,-119.657486
17.949999,0.578686,-0.512464,0.229114,0.152755,2.608804,-120.381210
18.000000,0.575231,-0.507844,0.226627,2.481308,1.539166,-120.828003
18.049999,0.572721,-0.507174,0.223109,4.430910,1.078503,-121.387260
18.099998,0.571875,-0.509043,0.224547,4.199954,0.972601,-122.222305
18.150000,0.570320,-0.510239,0.227623,3.018551,1.154638,-123.121513
