Graph
Time (Seconds),Data (Meters),Data0 (Meters),Data1 (Meters),Data2 (Degrees),Data3 (Degrees),Data4 (Degrees)
63.700001,1.331008,0.180174,0.182164,-0.003447,-0.000142,-6.590724
63.750000,1.331177,0.180237,0.181961,-0.004286,0.000949,-6.596905
63.799999,1.331142,0.180199,0.181821,-0.005229,-0.000878,-6.594500
63.849998,1.332165,0.179084,0.224958,-0.050688,0.071810,-6.557765
63.899998,1.332531,0.176440,0.318581,0.294473,-0.446376,-6.025000
63.950001,1.332302,0.173666,0.357190,0.647676,-0.662281,-5.517374
64.000000,1.332289,0.172814,0.334861,0.938913,-0.748801,-5.570450
64.050003,1.333058,0.171634,0.270390,1.379013,-1.172246,-5.491243
64.100006,1.332603,0.169887,0.217176,2.152149,-1.689059,-5.171762
64.150002,1.336369,0.172653,0.184707,-0.144256,0.095801,-4.853711
64.200005,1.338450,0.175378,0.184040,-0.051798,0.043120,-4.892326
64.250000,1.337359,0.174086,0.183119,-0.008246,0.013710,-4.922675
64.300003,1.337023,0.173340,0.182531,0.009733,-0.006381,-4.914400
64.350006,1.337559,0.173592,0.182198,-0.000608,-0.004502,-4.902560
64.400002,1.337633,0.173813,0.181985,-0.004948,-0.001455,-4.899992
64.450005,1.337440,0.173805,0.181838,-0.002620,-0.008444,-4.906662
64.500000,1.337481,0.173798,0.181748,-0.002974,-0.007457,-4.899016
64.550003,1.338001,0.175307,0.224354,-0.168939,-0.081883,-4.879281
64.600006,1.336535,0.176375,0.317806,0.271468,-0.560985,-4.699850
64.650002,1.334407,0.176341,0.311801,0.138551,-0.825127,-4.770034
64.700005,1.333522,0.177592,0.287107,0.575550,-1.094673,-4.597156
64.750000,1.331818,0.178373,0.260207,0.928269,-1.566230,-4.390182
64.800003,1.330483,0.178979,0.211730,1.213957,-2.079290,-4.293847
64.850006,1.334376,0.181643,0.183198,0.002702,0.014595,-4.273427
64.900002,1.336864,0.182984,0.182942,-0.017854,0.047501,-4.365071
64.950005,1.335411,0.182644,0.182476,-0.008590,0.014235,-4.363458
65.000000,1.335150,0.182128,0.182166,-0.002620,0.003217,-4.375219
65.050003,1.335512,0.182108,0.181954,-0.002514,0.005665,-4.400034
65.100006,1.334329,0.183873,0.224810,0.099572,0.058561,-4.424403
65.150002,1.332717,0.184331,0.317185,0.501875,-0.443778,-4.785529
65.200005,1.330160,0.183759,0.355488,0.473496,-0.874387,-4.783504
65.250000,1.330389,0.182784,0.333093,0.352806,-1.591751,-5.126821
65.300003,1.329889,0.183909,0.268135,0.395238,-2.017529,-5.666122
65.350006,1.328601,0.184443,0.214314,0.666686,-2.813641,-5.919468
65.400002,1.333839,0.185429,0.184858,0.122380,-0.070774,-6.227939
65.450005,1.337383,0.186864,0.183992,0.027368,0.043772,-6.272669
65.500000,1.335452,0.186952,0.183081,-0.006489,0.009614,-6.208245
65.550003,1.334925,0.186108,0.182501,0.004886,-0.005674,-6.228528
65.600006,1.335199,0.186193,0.182170,0.001861,-0.003284,-6.215819
65.650002,1.335342,0.186368,0.181950,-0.001736,0.000662,-6.203795
65.700005,1.335327,0.186320,0.181809,-0.003458,-0.000995,-6.209196
65.750000,1.335488,0.186537,0.224422,0.060030,0.037183,-6.239967
65.800003,1.334432,0.187306,0.317232,0.324046,-0.508553,-6.387772
65.850006,1.333597,0.188123,0.312977,0.118080,-0.720477,-6.474214
65.900002,1.331822,0.189554,0.287159,0.563097,-1.177729,-6.553168
65.950005,1.330746,0.190152,0.260389,0.805496,-1.741465,-6.669260
66.000000,1.329589,0.191229,0.212010,1.057640,-2.247458,-6.808720
